year,state,total_population,overall_literacy,female_literacy,male_literacy,total_enrollment,girl_enrollment,private_enrollment,total_schools,total_teachers
2015-16,JAMMU & KASHMIR,12549,68.74,58.01,78.26,1856776,1024643,832077,28578,157847
2015-16,HIMACHAL PRADESH,6857,83.78,76.6,90.83,950766,580395,370337,18024,94865
2015-16,PUNJAB,27704,76.68,71.34,81.48,3962439,2072324,1651510,28776,250470
2015-16,CHANDIGARH,1055,86.43,81.38,90.54,157921,101884,55040,201,9309
2015-16,UTTARAKHAND,10117,79.63,70.7,88.33,1712673,757209,907076,23660,109374
2015-16,HARYANA,25353,76.64,66.77,85.38,3730944,1663751,1970731,22268,204970
2015-16,DELHI,16753,86.34,80.93,91.03,3007010,1675648,1331362,5751,138849
2015-16,RAJASTHAN,68621,67.06,52.66,80.51,12340135,6266075,5891623,107931,656083
2015-16,UTTAR PRADESH,199581,69.72,59.26,79.24,36425633,16602729,18876867,245919,1018912
2015-16,BIHAR,103805,63.82,53.33,73.39,23431785,21548009,895815,80166,467877
2015-16,SIKKIM,608,82.2,76.43,87.29,105297,73272,32025,1279,15077
2015-16,ARUNACHAL PRADESH,1383,66.95,59.57,73.69,322458,232903,87420,4012,21584
2015-16,NAGALAND,1981,80.11,76.69,83.29,349696,166596,183100,2799,30320
2015-16,MANIPUR,2722,79.85,73.17,86.49,502596,188020,301111,4865,38936
2015-16,MIZORAM,1091,91.58,89.4,93.72,214317,112402,101818,3072,18482
2015-16,TRIPURA,3671,87.75,83.15,92.18,569512,468117,84693,4844,46613
2015-16,MEGHALAYA,2964,75.48,73.78,77.17,775613,379770,388651,13277,44148
2015-16,ASSAM,31169,73.18,67.27,78.81,5432053,4140192,955449,65894,302001
2015-16,WEST BENGAL,991348,77.08,71.16,82.67,12909034,11193885,1143436,95723,565646
2015-16,JHARKHAND,32966,67.63,56.21,78.45,6522068,4729025,929811,47441,181866
2015-16,ODISHA,41947,73.45,64.36,82.4,6328084,5053711,1023703,68978,314988
2015-16,CHHATTISGARH,25540,71.04,60.59,81.45,4457355,3281478,1159774,50705,214727
2015-16,MADHYA PRADESH,72598,70.63,60.02,80.53,12801969,7979306,4689747,142587,528609
2015-16,GUJARAT,60384,79.31,70.73,87.23,9090714,5816280,3273318,44051,325031
2015-16,DAMAN & DIU,243,87.07,79.59,91.48,27978,14903,13075,120,1163
2015-16,DADRA & NAGAR HAVELI,343,77.65,65.93,86.46,58974,41755,17072,323,2411
2015-16,MAHARASHTRA,112373,82.91,75.48,89.82,16043775,5949222,10019040,98213,666338
2015-16,ANDHRA PRADESH,84666,67.66,59.74,75.56,5611310,3128681,2441204,60435,276900
2015-16,KARNATAKA,61131,75.6,68.13,82.85,8340373,4249264,4089590,61739,312662
2015-16,GOA,1458,87.4,81.84,92.81,196309,37878,158431,1462,11382
2015-16,LAKSHADWEEP,64,92.28,88.25,96.11,7576,7576,0,41,888
2015-16,KERALA,33388,93.91,91.98,96.02,4012416,889125,2901916,16458,243885
2015-16,TAMIL NADU,72139,80.3,73.86,86.81,9236192,4170562,5047629,57539,557801
2015-16,PUDUCHERRY,1244,86.55,81.22,92.12,169462,48595,120867,719,12128
2015-16,A & N ISLANDS,380,86.27,81.84,90.11,50113,37171,12942,410,5346
2015-16,TELANGANA,352,66.46,57.92,74.95,5005185,2238721,2690844,40818,229268
